# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	2087
#@/user_id	eb2c6107-ebb4-4c05-bd07-3d45f5d9a1d5
a 	啊	c=2 d=1.94649 t=2087
fa xing ban 	發行版	c=2 d=1.99501 t=2087
fan 	反	c=0 d=0.0995012 t=2087
fan hui 	返回	c=4 d=2.20106 t=2087
fan hui zhi 	返回值	c=3 d=2.70018 t=2087
fan she 	反射	c=2 d=1.93635 t=2087
fan xu lie hua 	反序列化	c=1 d=1 t=2087
fang an 	方案	c=1 d=0.694197 t=2087
fang bian 	方便	c=1 d=0.621885 t=2087
fang dao 	放到	c=1 d=0.97531 t=2087
fang fa 	方法	c=19 d=7.20451 t=2087
fang ru 	放入	c=1 d=0.597501 t=2087
fang shi 	方式	c=4 d=2.29218 t=2087
fang wen 	訪問	c=8 d=4.34542 t=2087
fang wen dao 	訪問到	c=1 d=0.995012 t=2087
fang wen ma 	訪問嗎	c=1 d=1 t=2087
fang xiang 	方向	c=1 d=0.292293 t=2087
fang zai 	放在	c=4 d=1.25104 t=2087
fen bie 	分別	c=1 d=0.995012 t=2087
fen wei 	分爲	c=1 d=0.449329 t=2087
feng zhuang 	封裝	c=2 d=1.03521 t=2087
fou ze 	否則	c=1 d=0.99005 t=2087
fu 	父	c=1 d=0.324652 t=2087
fu gai 	覆蓋	c=1 d=0.960789 t=2087
fu wu duan 	服務端	c=1 d=0.794534 t=2087
fu wu qi 	服務器	c=1 d=0.86777 t=2087
fu xin 	阜新	c=1 d=1 t=2087
fu xuan kuang 	複選框	c=3 d=1.86677 t=2087
fu zhi 	賦值	c=2 d=1.42741 t=2087
gai 	該	c=1 d=0.33142 t=2087
gai bian 	改變	c=5 d=1.81376 t=2087
gai bian shi 	改變時	c=1 d=0.310367 t=2087
gai jin 	改進	c=0 d=0.0687289 t=2087
gai yong 	改用	c=1 d=0.690734 t=2087
gang cai 	剛纔	c=1 d=0.951229 t=2087
gao ji 	高級	c=1 d=0.67032 t=2087
gao liang 	高亮	c=1 d=0.650509 t=2087
ge ci 	歌詞	c=1 d=0.995012 t=2087
ge qu 	歌曲	c=1 d=0.985112 t=2087
ge shi 	格式	c=4 d=1.89382 t=2087
ge shi hua 	格式化	c=1 d=0.995012 t=2087
ge zhong 	各種	c=3 d=1.03306 t=2087
gei 	給	c=1 d=0.767206 t=2087
gei chu 	給出	c=2 d=1.14275 t=2087
gen ju 	根據	c=4 d=1.38636 t=2087
geng 	更	c=0 d=0.0543351 t=2087
geng duo 	更多	c=2 d=0.729789 t=2087
geng duo de 	更多的	c=1 d=0.798516 t=2087
geng duo gong neng 	更多功能	c=1 d=0.980199 t=2087
geng gao 	更高	c=0 d=0.066365 t=2087
geng gao ji 	更高記	c=1 d=0.666977 t=2087
geng hao 	更好	c=1 d=0.904837 t=2087
geng jia 	更加	c=0 d=0.0529935 t=2087
geng jia ai 	更加愛	c=1 d=0.532592 t=2087
geng mei guan 	更美觀	c=2 d=1.18367 t=2087
gong chang 	工廠	c=8 d=5.19628 t=2087
gong chang dui xiang 	工廠對象	c=1 d=0.847894 t=2087
gong chang hou chu li 	工廠後處理	c=1 d=0.26982 t=2087
gong ju 	工具	c=2 d=1.01485 t=2087
gong neng 	功能	c=16 d=4.66209 t=2087
gong zuo 	工作	c=1 d=0.932432 t=2087
gong zuo qu 	工作區	c=2 d=1.96042 t=2087
gou ji 	購機	c=0 d=0.0729789 t=2087
gou ji hua 	購機化	c=1 d=0.733447 t=2087
gou zao 	構造	c=0 d=0.0337902 t=2087
gou zao qi 	構造器	c=1 d=0.339596 t=2087
guan bi 	關閉	c=1 d=1 t=2087
guan li 	管理	c=1 d=0.99005 t=2087
guan li qi 	管理器	c=1 d=1.09451 t=2087
guan xi 	關係	c=1 d=0.903489 t=2087
guang biao 	光標	c=1 d=1 t=2087
gun dong 	滾動	c=1 d=0.585574 t=2087
